Name,Team,Birthdate,Nationality,Weight,Height
Tadej  Pogačar,UAE Team Emirates - XRG,9/21/98,Slovenia,66,1.76
João  Almeida,UAE Team Emirates - XRG,8/5/98,Portugal,63,1.78
Jhonatan  Narváez,UAE Team Emirates - XRG,3/4/97,Ecuador,65,1.74
Nils  Politt,UAE Team Emirates - XRG,3/6/94,Germany,80,1.92
Pavel  Sivakov,UAE Team Emirates - XRG,7/11/97,France,70,1.88
Marc  Soler,UAE Team Emirates - XRG,11/22/93,Spain,68,1.86
Tim  Wellens,UAE Team Emirates - XRG,5/10/91,Belgium,71,1.82
Adam  Yates,UAE Team Emirates - XRG,8/7/92,Great Britain,58,1.73
Jonas  Vingegaard,Team Visma | Lease a Bike,12/10/96,Denmark,58,1.75
Edoardo  Affini,Team Visma | Lease a Bike,6/24/96,Italy,80,1.9
Tiesj  Benoot,Team Visma | Lease a Bike,3/11/94,Belgium,72,1.9
Victor  Campenaerts,Team Visma | Lease a Bike,10/28/91,Belgium,68,1.73
Matteo  Jorgenson,Team Visma | Lease a Bike,7/1/99,United States,69,1.9
Sepp  Kuss,Team Visma | Lease a Bike,9/13/94,United States,61,1.82
Wout van Aert,Team Visma | Lease a Bike,9/15/94,Belgium,78,1.9
Simon  Yates,Team Visma | Lease a Bike,8/7/92,Great Britain,58,1.72
Remco  Evenepoel,Soudal Quick-Step,1/25/00,Belgium,61,1.71
Mattia  Cattaneo,Soudal Quick-Step,10/25/90,Italy,67,1.84
Pascal  Eenkhoorn,Soudal Quick-Step,2/8/97,Netherlands,72,1.85
Tim  Merlier,Soudal Quick-Step,10/30/92,Belgium,76,1.88
Valentin  Paret-Peintre,Soudal Quick-Step,1/14/01,France,52,1.78
Maximilian  Schachmann,Soudal Quick-Step,1/9/94,Germany,71,1.83
Bert Van Lerberghe,Soudal Quick-Step,9/29/92,Belgium,83,1.9
Ilan Van Wilder,Soudal Quick-Step,5/14/00,Belgium,64,1.71
Harry  Sweeny,EF Education - EasyPost,7/9/98,Australia,75,1.86
Neilson  Powless,EF Education - EasyPost,9/3/96,United States,67,1.83
Ben  Healy,EF Education - EasyPost,9/11/00,Ireland,65,1.75
Kasper  Asgreen,EF Education - EasyPost,2/8/95,Denmark,75,1.93
Marijn van den Berg,EF Education - EasyPost,7/19/99,Netherlands,73,1.82
Alex  Baudin,EF Education - EasyPost,5/25/01,France,64,1.83
Michael  Valgren,EF Education - EasyPost,2/7/92,Denmark,71,1.79
Vincenzo  Albanese,EF Education - EasyPost,11/12/96,Italy,70,1.75
Bruno  Armirail,Decathlon AG2R La Mondiale Team,4/11/94,France,72,1.9
Stefan  Bissegger,Decathlon AG2R La Mondiale Team,9/13/98,Switzerland,78,1.81
Clément  Berthet,Decathlon AG2R La Mondiale Team,8/2/97,France,68,1.84
Felix  Gall,Decathlon AG2R La Mondiale Team,2/27/98,Austria,66,1.8
Oliver  Naesen,Decathlon AG2R La Mondiale Team,9/16/90,Belgium,74,1.84
Aurélien  Paret-Peintre,Decathlon AG2R La Mondiale Team,2/27/96,France,64,1.84
Callum  Scotson,Decathlon AG2R La Mondiale Team,8/10/96,Australia,77,1.83
Bastien  Tronchon,Decathlon AG2R La Mondiale Team,3/29/02,France,72,1.85
Primož  Roglič,Red Bull - BORA - hansgrohe,10/29/89,Slovenia,65,1.77
Florian  Lipowitz,Red Bull - BORA - hansgrohe,9/21/00,Germany,68,1.81
Aleksandr  Vlasov,Red Bull - BORA - hansgrohe,4/23/96,Russia,68,1.86
Laurence  Pithie,Red Bull - BORA - hansgrohe,7/17/02,New Zealand,74,1.85
Mick van Dijke,Red Bull - BORA - hansgrohe,3/15/00,Netherlands,74,1.9
Gianni  Moscon,Red Bull - BORA - hansgrohe,4/20/94,Italy,71,1.8
Danny van Poppel,Red Bull - BORA - hansgrohe,7/26/93,Netherlands,82,1.84
Jordi  Meeus,Red Bull - BORA - hansgrohe,7/1/98,Belgium,80,1.9
Alex  Aranburu,Cofidis,9/19/95,Spain,63,1.78
Emanuel  Buchmann,Cofidis,11/18/92,Germany,59,1.8
Bryan  Coquard,Cofidis,4/25/92,France,59,1.71
Ion  Izagirre,Cofidis,2/4/89,Spain,60,1.73
Alexis  Renard,Cofidis,6/1/99,France,74,1.86
Benjamin  Thomas,Cofidis,9/12/95,France,68,1.79
Damien  Touzé,Cofidis,7/7/96,France,69,1.74
Dylan  Teuns,Cofidis,3/1/92,Belgium,64,1.81
Mathieu van der Poel,Alpecin - Deceuninck,1/19/95,Netherlands,75,1.84
Jasper  Philipsen,Alpecin - Deceuninck,3/2/98,Belgium,75,1.76
Kaden  Groves,Alpecin - Deceuninck,12/23/98,Australia,76,1.76
Jonas  Rickaert,Alpecin - Deceuninck,2/7/94,Belgium,88,1.87
